"xCoord","yCoord","year","env1","env2"
0,0,0,6.20322580645161,0.964741935483871
1,0,0,6.24516129032258,0.963774193548387
2,0,0,6.31612903225806,0.960741935483871
3,0,0,6.33225806451613,0.960516129032258
4,0,0,6.35161290322581,0.959612903225807
5,0,0,6.38709677419355,0.957032258064516
6,0,0,6.40967741935484,0.955096774193548
7,0,0,6.41290322580645,0.953677419354839
8,0,0,6.44193548387097,0.95058064516129
9,0,0,6.48387096774194,0.944903225806452
10,0,0,6.48064516129032,0.941387096774194
11,0,0,6.37741935483871,0.946645161290323
12,0,0,6.28387096774193,0.952483870967742
13,0,0,6.14193548387097,0.962096774193548
14,0,0,6.25161290322581,0.951129032258065
15,0,0,6.52903225806452,0.923064516129032
16,0,0,6.59677419354839,0.916548387096774
17,0,0,6.62903225806452,0.912774193548387
18,0,0,6.68387096774194,0.912483870967742
19,0,0,6.71935483870968,0.914387096774193
20,0,0,6.75806451612903,0.923612903225806
21,0,0,6.74838709677419,0.939870967741935
22,0,0,6.75806451612903,0.956064516129032
23,0,0,6.61935483870968,0.988612903225806
24,0,0,6.45806451612903,1.02409677419355
25,0,0,6.16129032258065,1.07474193548387
26,0,0,5.76129032258064,1.13158064516129
27,0,0,5.51612903225806,1.16245161290323
28,0,0,5.54516129032258,1.16203225806452
29,0,0,4.87741935483871,1.21983870967742
30,0,0,5.03548387096774,1.19767741935484
31,0,0,5.52903225806452,1.13445161290323
32,0,0,5.04193548387097,1.17358064516129
33,0,0,5.37741935483871,1.12283870967742
34,0,0,5.23225806451613,1.12348387096774
35,0,0,4.71935483870968,1.16412903225806
36,0,0,4.32258064516129,1.19674193548387
37,0,0,4.04193548387097,1.217
38,0,0,4.3,1.16629032258065
39,0,0,3.76451612903226,1.22729032258065
40,0,0,4.01935483870968,1.17561290322581
41,0,0,4.1258064516129,1.14435483870968
42,0,0,4.18387096774194,1.12177419354839
43,0,0,3.75483870967742,1.17154838709677
44,0,0,3.71612903225806,1.16196774193548
45,0,0,3.18064516129032,1.23216129032258
46,0,0,3.07096774193548,1.23916129032258
47,0,0,3.36774193548387,1.17509677419355
48,0,0,3.12258064516129,1.19996774193548
49,0,0,3.44516129032258,1.13951612903226
50,0,0,3.24838709677419,1.16087096774194
51,0,0,2.84193548387097,1.22061290322581
52,0,0,3.35806451612903,1.13532258064516
53,0,0,3.24838709677419,1.15067741935484
54,0,0,2.69677419354839,1.235
55,0,0,1.91290322580645,1.36254838709677
56,0,0,2.6258064516129,1.24348387096774
